Name,Section
সুস্মিতা দত্ত রায়,Poems / কবিতা
বিমল চন্দ্র পান্ডা,Poems / কবিতা
উদয় নারায়ণ বাগ,Poems / কবিতা
পদ্মাবতী কুন্ডু,Poems / কবিতা
বিভূতি বিশ্বাস,Poems / কবিতা
লালন চাঁদ,Poems / কবিতা
গোবিন্দ মোদক,Poems / কবিতা
সুভাষ সিংহ,Poems / কবিতা
বকুল বিশ্বাস,Poems / কবিতা
দিলীপ কুমার পাত্র,Poems / কবিতা
সুশান্ত সেন,Poems / কবিতা
অনুপ কুমার জানা,Poems / কবিতা
তুয়া নূর,Poems / কবিতা
সমর গোস্বামী,Poems / কবিতা
সোনালী ঢালী,Poems / কবিতা
ডঃ অশোক কুমার সনিগ্রাহী,Poems / কবিতা
তপন মাইতি,Poems / কবিতা
অনুরাগ ভৌমিক,Poems / কবিতা
সৌরদীপ অধিকারী,Poems / কবিতা
উত্তম কুমার পাল,Poems / কবিতা
সুবীর কুমার ঘোষ,Poems / কবিতা
সৌম্যজিৎ রায়,Poems / কবিতা


অঞ্জনা মজুমদার,Story / গল্প
আনন্দ গোপাল গরাই,Story / গল্প
অর্পিতা মালিক,Story / গল্প
ভাস্কর সিনহা,Story / গল্প
মাখনলাল প্রধান,Story / গল্প
সৈকত প্রসাদ রায়,Story / গল্প
শ্রেয়া দত্ত,Story / গল্প

Name,Section
চন্দ্রানী মজুমদার,Short Story / অনুগল্প
পার্থ প্রতিম দাস,Short Story / অনুগল্প
বিপ্লব নসিপুর,Short Story / অনুগল্প
